REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2026,06,1,13,0,01,2,2,6,2,1,,,2,3,18,06,29,,,,350,350,1,350,350,0,,0,0,0,,24,,1690,3,2,1,1,,,,,,,,,,,,,,,,,1,06,,167
2,2026,06,1,48,8,07,,1,2,6,1,,,1,3,21,05,19,,,,380,260,1,380,260,150,3,0,30,30,,124,,12045,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,874
3,2026,06,4,24,0,12,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,11,,280
4,2026,06,4,35,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,11,,186
5,2026,06,1,35,0,05,,1,1,1,1,,,3,3,06,08,35,,,,400,400,1,400,400,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,1,03,2,163
6,2026,06,4,35,0,09,,1,1,5,,1,1,2,3,12,03,11,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,2,,,,,,,,,,,1,11,,150
7,2026,06,1,13,0,04,,2,6,6,2,,,2,3,07,08,38,,,,400,400,1,750,720,0,,0,0,0,,10,,1700,3,4,2,2,,,,,,,,,,,,,,,,,1,03,,101
8,2026,06,1,35,4,04,,2,2,5,1,,,2,1,16,06,27,,,,70,70,2,70,70,0,,0,0,0,5,22,,4000,3,1,1,2,,,,,,,,,,,,,,,,,1,02,,1099
9,2026,06,1,48,7,01,2,2,6,3,1,,,2,3,19,07,34,,,,300,300,1,300,300,0,,0,0,0,,5,,1500,3,1,2,4,,,,,,,,,,,,,,,,,1,04,,742
10,2026,06,4,10,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,61
11,2026,06,1,59,9,04,,1,2,5,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,34,,4200,3,1,1,2,,,,,,,,,,,,,,,,,1,02,,675
12,2026,06,1,46,0,04,,1,1,4,1,,,2,3,11,08,36,,,,400,180,1,400,180,0,,0,0,0,,134,,6058,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,87
13,2026,06,1,59,0,02,3,1,6,3,1,,,2,3,10,07,34,,,,400,400,1,400,400,0,,0,0,0,,21,,2000,1,1,2,2,,,,,,,,,,,,,,,,,1,04,,322
14,2026,06,4,11,0,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,59
15,2026,06,1,24,0,11,,2,1,4,1,,,2,3,17,04,18,,,,280,280,2,280,280,0,,0,0,0,5,129,,2700,3,1,2,2,,,,,,,,,,,,,,,,,,08,,133
16,2026,06,1,24,0,05,,1,2,4,1,,,2,3,06,08,36,,,,400,400,1,400,400,0,,0,0,0,,82,,4700,1,1,2,2,,,,,,,,,,,,,,,,,1,03,2,142
17,2026,06,1,35,4,03,6,2,6,5,1,,,2,2,14,06,28,,,,400,320,1,400,320,80,1,0,0,0,,6,,7692,3,1,1,3,,,,,,,,,,,,,,,,,1,10,,886
18,2026,06,2,35,4,06,,1,1,2,1,,,2,1,11,08,36,3,2,2,400,0,1,400,0,,,,,,,36,,2500,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,942
19,2026,06,4,35,0,02,3,1,6,5,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,02,,417
20,2026,06,1,35,4,07,,2,1,4,1,,,1,2,16,05,25,,,,350,350,1,350,350,70,1,0,0,0,,22,,3101,1,1,2,2,,,,,,,,,,,,,,,,,1,04,4,379
